,NUM_AGE,TEXT_BANK,COUNT_0,COUNT_1
294,43,"UniCredit Bank Czech Republic and Slovakia, a.s.",2,0
295,43,"mBank S.A., organizační složka",1,1
296,43,"Československá obchodní banka, a.s.",7,0
297,43,"Česká spořitelna, a.s.",14,3
298,44,Air Bank a.s.,3,0
299,44,Equa bank a.s.,6,0
300,44,"Fio banka, a.s.",1,1
301,44,"Komerční banka, a.s.",7,0
302,44,"MONETA Money Bank, a.s.",10,0
303,44,Raiffeisenbank a.s.,3,0
304,44,"UniCredit Bank Czech Republic and Slovakia, a.s.",2,0
305,44,"mBank S.A., organizační složka",2,0
306,44,"Československá obchodní banka, a.s.",8,0
307,44,"Česká spořitelna, a.s.",8,1
308,45,Air Bank a.s.,2,0
309,45,Anonymous Bank,1,0
310,45,Equa bank a.s.,3,0
311,45,"Fio banka, a.s.",1,0
312,45,"Komerční banka, a.s.",4,2
313,45,"MONETA Money Bank, a.s.",8,0
314,45,Raiffeisenbank a.s.,7,1
315,45,"UniCredit Bank Czech Republic and Slovakia, a.s.",0,1
316,45,"mBank S.A., organizační složka",0,1
317,45,"Československá obchodní banka, a.s.",12,0
318,45,"Česká spořitelna, a.s.",14,2
319,46,Air Bank a.s.,4,0
320,46,Equa bank a.s.,2,0
321,46,"Fio banka, a.s.",2,0
322,46,"Komerční banka, a.s.",4,0
323,46,"MONETA Money Bank, a.s.",10,1
324,46,Raiffeisenbank a.s.,8,0
325,46,"Sberbank CZ, a.s.",1,0
326,46,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,0
327,46,"mBank S.A., organizační složka",3,0
328,46,"Československá obchodní banka, a.s.",10,0
329,46,"Česká spořitelna, a.s.",20,2
330,47,Air Bank a.s.,4,0
331,47,Equa bank a.s.,2,0
332,47,"Fio banka, a.s.",1,0
333,47,"Komerční banka, a.s.",5,0
334,47,"MONETA Money Bank, a.s.",7,0
335,47,Raiffeisenbank a.s.,2,2
336,47,"Sberbank CZ, a.s.",2,0
337,47,"mBank S.A., organizační složka",1,0
338,47,"Československá obchodní banka, a.s.",5,0
339,47,"Česká spořitelna, a.s.",16,1
340,48,Air Bank a.s.,2,0
341,48,Equa bank a.s.,1,0
342,48,"Fio banka, a.s.",1,0
343,48,"Komerční banka, a.s.",7,0
344,48,"MONETA Money Bank, a.s.",5,0
345,48,Raiffeisenbank a.s.,2,1
346,48,"Československá obchodní banka, a.s.",6,0
347,48,"Česká spořitelna, a.s.",9,1
348,49,Air Bank a.s.,1,0
349,49,Equa bank a.s.,1,0
350,49,"Fio banka, a.s.",2,0
351,49,"Komerční banka, a.s.",3,0
352,49,"MONETA Money Bank, a.s.",9,1
353,49,Raiffeisenbank a.s.,3,2
354,49,"Československá obchodní banka, a.s.",5,0
355,49,"Česká spořitelna, a.s.",6,3
356,50,Air Bank a.s.,4,0
357,50,Equa bank a.s.,5,0
358,50,"Fio banka, a.s.",2,0
359,50,"Komerční banka, a.s.",4,0
360,50,"MONETA Money Bank, a.s.",5,0
361,50,Raiffeisenbank a.s.,2,0
362,50,"Československá obchodní banka, a.s.",7,0
363,50,"Česká spořitelna, a.s.",5,0
364,51,Air Bank a.s.,3,0
365,51,Equa bank a.s.,2,1
366,51,"Fio banka, a.s.",2,0
367,51,"Komerční banka, a.s.",3,0
368,51,"MONETA Money Bank, a.s.",2,0
369,51,Raiffeisenbank a.s.,2,0
370,51,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,0
371,51,"Československá obchodní banka, a.s.",4,0
372,51,"Česká spořitelna, a.s.",3,1
373,52,Air Bank a.s.,1,0
374,52,"BNP Paribas Personal Finance SA, odštěpný závod",1,0
375,52,"Fio banka, a.s.",1,0
376,52,"Komerční banka, a.s.",3,0
377,52,"MONETA Money Bank, a.s.",1,1
378,52,Raiffeisenbank a.s.,1,1
379,52,"mBank S.A., organizační složka",1,1
380,52,"Československá obchodní banka, a.s.",4,0
381,52,"Česká spořitelna, a.s.",8,2
382,53,Air Bank a.s.,2,0
383,53,Equa bank a.s.,2,0
384,53,"Fio banka, a.s.",1,0
385,53,"Komerční banka, a.s.",1,0
386,53,"MONETA Money Bank, a.s.",3,0
387,53,Raiffeisenbank a.s.,0,2
388,53,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,0
389,53,"mBank S.A., organizační složka",1,0
390,53,"Československá obchodní banka, a.s.",3,0
391,53,"Česká spořitelna, a.s.",7,2
392,54,Air Bank a.s.,2,1
393,54,Anonymous Bank,1,0
394,54,"Fio banka, a.s.",1,0
395,54,"MONETA Money Bank, a.s.",4,0
396,54,Raiffeisenbank a.s.,2,1
397,54,"mBank S.A., organizační složka",1,1
398,54,"Československá obchodní banka, a.s.",8,1
399,54,"Česká spořitelna, a.s.",2,0
400,55,Air Bank a.s.,4,0
401,55,"Komerční banka, a.s.",2,0
402,55,"MONETA Money Bank, a.s.",5,0
403,55,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,0
404,55,"mBank S.A., organizační složka",1,0
405,55,"Československá obchodní banka, a.s.",5,0
406,55,"Česká spořitelna, a.s.",3,1
407,56,Equa bank a.s.,1,0
408,56,"Komerční banka, a.s.",1,0
409,56,"MONETA Money Bank, a.s.",4,0
410,56,Raiffeisenbank a.s.,0,1
411,56,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,0
412,56,"mBank S.A., organizační složka",1,0
413,56,"Československá obchodní banka, a.s.",2,0
414,56,"Česká spořitelna, a.s.",5,4
415,57,Anonymous Bank,1,0
416,57,"Komerční banka, a.s.",2,0
417,57,"MONETA Money Bank, a.s.",1,0
418,57,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,0
419,57,"mBank S.A., organizační složka",1,1
420,57,"Československá obchodní banka, a.s.",2,0
421,57,"Česká spořitelna, a.s.",2,2
422,58,Air Bank a.s.,2,0
423,58,"Komerční banka, a.s.",1,0
424,58,"MONETA Money Bank, a.s.",1,0
425,58,"Československá obchodní banka, a.s.",2,0
426,58,"Česká spořitelna, a.s.",4,0
427,59,Air Bank a.s.,2,0
428,59,Equa bank a.s.,1,0
429,59,"Fio banka, a.s.",1,0
430,59,"Komerční banka, a.s.",1,0
431,59,"MONETA Money Bank, a.s.",1,0
432,59,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,0
433,59,"Československá obchodní banka, a.s.",4,0
434,59,"Česká spořitelna, a.s.",2,0
435,60,Air Bank a.s.,2,1
436,60,"MONETA Money Bank, a.s.",2,0
437,60,Raiffeisenbank a.s.,0,1
438,60,"Československá obchodní banka, a.s.",1,1
439,60,"Česká spořitelna, a.s.",2,0
440,61,Air Bank a.s.,2,0
441,61,Equa bank a.s.,1,0
442,61,"Fio banka, a.s.",1,0
443,61,"MONETA Money Bank, a.s.",1,0
444,61,Raiffeisenbank a.s.,1,1
445,61,"mBank S.A., organizační složka",1,0
446,61,"Československá obchodní banka, a.s.",1,0
447,61,"Česká spořitelna, a.s.",2,2
448,62,Air Bank a.s.,3,0
449,62,"Komerční banka, a.s.",1,0
450,62,"MONETA Money Bank, a.s.",1,1
451,62,"Česká spořitelna, a.s.",6,2
452,63,Air Bank a.s.,3,0
453,63,"MONETA Money Bank, a.s.",2,0
454,63,Raiffeisenbank a.s.,1,1
455,63,"Československá obchodní banka, a.s.",1,0
456,63,"Česká spořitelna, a.s.",2,2
457,64,"Komerční banka, a.s.",4,0
458,64,Raiffeisenbank a.s.,0,1
459,64,"Česká spořitelna, a.s.",1,0
460,65,Equa bank a.s.,0,1
461,65,"Komerční banka, a.s.",1,0
462,65,"MONETA Money Bank, a.s.",2,0
463,65,Raiffeisenbank a.s.,1,0
464,65,"Česká spořitelna, a.s.",1,0
465,66,Air Bank a.s.,0,1
466,66,Anonymous Bank,1,0
467,66,Equa bank a.s.,3,0
468,66,"Komerční banka, a.s.",1,0
469,66,"MONETA Money Bank, a.s.",2,0
470,66,"Československá obchodní banka, a.s.",2,1
471,66,"Česká spořitelna, a.s.",3,0
472,67,Air Bank a.s.,1,1
473,67,"MONETA Money Bank, a.s.",3,0
474,67,"Československá obchodní banka, a.s.",0,1
475,67,"Česká spořitelna, a.s.",1,0
476,68,"UniCredit Bank Czech Republic and Slovakia, a.s.",0,1
477,68,"Československá obchodní banka, a.s.",1,0
478,68,"Česká spořitelna, a.s.",1,0
479,69,Air Bank a.s.,3,1
480,69,"MONETA Money Bank, a.s.",1,0
481,69,"Česká spořitelna, a.s.",1,0
482,70,Anonymous Bank,2,0
483,70,"Komerční banka, a.s.",2,0
484,70,"MONETA Money Bank, a.s.",1,1
485,70,Raiffeisenbank a.s.,1,0
486,70,"Československá obchodní banka, a.s.",0,2
487,70,"Česká spořitelna, a.s.",3,0
