,CODE_ZIP,AMT_NET_INCOME,AMT_REQUESTED_TICKET,TEXT_BANK,NUM_AGE,TEXT_GENDER,NFLAG_MOBILEDEVICE,CODE_IP_1,NUM_LEVEN_EMAIL,NFLAG_EMAIL_NUMERAL,CNT_REJECTED,NUM_DAYS_CREDIT_HISTORY,TARGET,age_range,GENDER,NAZOKRESU
58823,37401,23000,5000.0,"BNP Paribas Personal Finance SA, odštěpný závod",42,Muž,1,80,92,0,1,1600,0,43 - 55,0,České Budějovice
58822,37401,23000,5000.0,"BNP Paribas Personal Finance SA, odštěpný závod",42,Muž,1,80,92,0,1,1600,0,43 - 55,0,České Budějovice
58834,37401,23000,5000.0,"BNP Paribas Personal Finance SA, odštěpný závod",42,Muž,1,80,92,0,1,1600,0,43 - 55,0,České Budějovice
58835,37401,23000,5000.0,"BNP Paribas Personal Finance SA, odštěpný závod",42,Muž,1,80,92,0,1,1600,0,43 - 55,0,České Budějovice
58796,37401,23000,5000.0,"BNP Paribas Personal Finance SA, odštěpný závod",42,Muž,1,80,92,0,1,1600,0,43 - 55,0,České Budějovice
58788,37401,23000,5000.0,"BNP Paribas Personal Finance SA, odštěpný závod",42,Muž,1,80,92,0,1,1600,0,43 - 55,0,České Budějovice
58789,37401,23000,5000.0,"BNP Paribas Personal Finance SA, odštěpný závod",42,Muž,1,80,92,0,1,1600,0,43 - 55,0,České Budějovice
58790,37401,23000,5000.0,"BNP Paribas Personal Finance SA, odštěpný závod",42,Muž,1,80,92,0,1,1600,0,43 - 55,0,České Budějovice
58854,37401,23000,5000.0,"BNP Paribas Personal Finance SA, odštěpný závod",42,Muž,1,80,92,0,1,1600,0,43 - 55,0,České Budějovice
29200,73514,30000,15000.0,"Česká spořitelna, a.s.",56,Žena,0,89,28,0,3,1600,0,56 - 68,1,Karviná
29201,73514,30000,15000.0,"Česká spořitelna, a.s.",56,Žena,0,89,28,0,3,1600,0,56 - 68,1,Karviná
11195,59301,17500,10000.0,"Česká spořitelna, a.s.",49,Muž,0,31,93,0,1,1600,0,43 - 55,0,Žďár nad Sázavou
11196,59301,17500,10000.0,"Česká spořitelna, a.s.",49,Muž,0,31,93,0,1,1600,0,43 - 55,0,Žďár nad Sázavou
36152,41501,13000,10000.0,Equa bank a.s.,66,Žena,0,78,94,0,1,1600,0,56 - 68,1,Teplice
36153,41501,13000,10000.0,Equa bank a.s.,66,Žena,0,78,94,0,1,1600,0,56 - 68,1,Teplice
36154,41501,13000,10000.0,Equa bank a.s.,66,Žena,0,78,94,0,1,1600,0,56 - 68,1,Teplice
36155,41501,13000,10000.0,Equa bank a.s.,66,Žena,0,78,94,0,1,1600,0,56 - 68,1,Teplice
36156,41501,13000,10000.0,Equa bank a.s.,66,Žena,0,78,94,0,1,1600,0,56 - 68,1,Teplice
29835,54101,18700,12000.0,"Česká spořitelna, a.s.",53,Žena,1,5,34,0,1,1600,1,43 - 55,1,Trutnov
46355,54101,25000,15000.0,"Komerční banka, a.s.",48,Žena,1,37,78,0,0,1600,0,43 - 55,1,Trutnov
46371,54101,25000,15000.0,"Komerční banka, a.s.",48,Žena,1,37,78,0,0,1600,0,43 - 55,1,Trutnov
46372,54101,25000,15000.0,"Komerční banka, a.s.",48,Žena,1,37,78,0,0,1600,0,43 - 55,1,Trutnov
44673,32600,73000,15000.0,Air Bank a.s.,43,Muž,0,78,40,0,1,1600,0,43 - 55,0,Plzeň-město
29848,54101,18700,12000.0,"Česká spořitelna, a.s.",53,Žena,1,5,34,0,1,1600,1,43 - 55,1,Trutnov
