CODE_ZIP,AMT_NET_INCOME,AMT_REQUESTED_TICKET,TEXT_BANK,NUM_AGE,TEXT_GENDER,NFLAG_MOBILEDEVICE,CODE_IP_1,NUM_LEVEN_EMAIL,NFLAG_EMAIL_NUMERAL,CNT_REJECTED,NUM_DAYS_CREDIT_HISTORY,TARGET
35735,30000,10000.0000,"MONETA Money Bank, a.s.",40,Muž,0,85,43,1,1,1850,0
25101,35200,10000.0000,"Česká spořitelna, a.s.",22,Muž,1,37,75,1,0,1200,0
41201,20000,3000.0000,"MONETA Money Bank, a.s.",20,Žena,1,188,19,1,7,50,1
39409,20000,1000.0000,"MONETA Money Bank, a.s.",22,Žena,1,109,95,0,1,200,0
35301,17500,3000.0000,"Československá obchodní banka, a.s.",21,Žena,0,178,90,1,0,0,0
38232,30000,10000.0000,"MONETA Money Bank, a.s.",26,Žena,0,78,88,0,1,0,0
38801,30000,5000.0000,"Komerční banka, a.s.",26,Muž,1,46,8,0,1,1250,0
61400,21000,10000.0000,Air Bank a.s.,24,Muž,1,89,89,1,1,650,0
73961,20000,4000.0000,"Fio banka, a.s.",22,Muž,1,37,93,0,1,300,0
56912,10000,2000.0000,"Česká spořitelna, a.s.",23,Žena,1,109,69,0,4,1700,1
74101,23000,8000.0000,"MONETA Money Bank, a.s.",23,Muž,1,37,30,1,1,350,0
25791,9800,5000.0000,"Československá obchodní banka, a.s.",22,Muž,1,90,45,0,5,800,0
74601,15500,1000.0000,Air Bank a.s.,22,Žena,1,85,27,1,1,850,0
46001,19500,10000.0000,"Československá obchodní banka, a.s.",25,Žena,0,185,27,1,0,600,0
50901,15000,6000.0000,"Komerční banka, a.s.",25,Muž,1,93,54,0,1,0,1
27201,21000,10000.0000,"Komerční banka, a.s.",22,Muž,0,193,40,0,2,400,0
73581,18000,6000.0000,"UniCredit Bank Czech Republic and Slovakia, a.s.",24,Muž,0,193,67,1,1,1350,0
26101,19000,10000.0000,"Česká spořitelna, a.s.",22,Muž,1,89,20,1,1,100,0
43801,15000,10000.0000,"Komerční banka, a.s.",30,Žena,1,89,65,0,1,3200,0
34801,24500,10000.0000,Air Bank a.s.,27,Žena,1,37,88,1,1,1400,0
27326,18000,10000.0000,"MONETA Money Bank, a.s.",23,Muž,1,85,0,1,1,1650,1
51101,27000,8000.0000,"Česká spořitelna, a.s.",44,Žena,0,193,62,0,0,2550,0
78971,30000,10000.0000,"Československá obchodní banka, a.s.",54,Žena,0,31,89,0,1,1800,0
66501,45000,5000.0000,Air Bank a.s.,32,Muž,1,194,18,0,1,1150,0
74718,20000,3000.0000,"Československá obchodní banka, a.s.",53,Muž,0,91,95,0,1,2950,0
73601,20500,2000.0000,"Česká spořitelna, a.s.",48,Muž,1,46,92,0,1,2950,0
70800,15000,1000.0000,"Česká spořitelna, a.s.",20,Muž,1,193,14,0,1,200,0
76311,20000,7000.0000,"mBank S.A., organizační složka",34,Žena,1,77,84,0,1,850,1
33021,22500,2000.0000,Air Bank a.s.,22,Muž,1,89,18,0,1,400,0
43004,17000,5000.0000,"Fio banka, a.s.",28,Žena,1,194,93,0,2,1700,0
14100,45000,10000.0000,"Komerční banka, a.s.",23,Muž,1,46,91,0,1,750,1
76302,20000,7000.0000,Air Bank a.s.,31,Muž,1,188,20,1,1,1700,0
66463,10000,10000.0000,"Česká spořitelna, a.s.",56,Žena,0,193,95,0,1,1250,1
28932,25000,10000.0000,"MONETA Money Bank, a.s.",28,Muž,1,188,50,1,3,1500,0
75301,15000,1000.0000,"MONETA Money Bank, a.s.",25,Žena,1,37,90,1,2,150,1
75352,30000,10000.0000,Air Bank a.s.,30,Muž,1,86,36,0,1,1150,1
79326,15000,10000.0000,"mBank S.A., organizační složka",61,Žena,0,185,91,0,1,4050,0
56102,22000,10000.0000,"Komerční banka, a.s.",41,Muž,1,37,50,0,2,1750,0
61300,11790,8000.0000,,70,Žena,0,193,13,1,1,2050,0
43001,15000,6000.0000,"UniCredit Bank Czech Republic and Slovakia, a.s.",18,Muž,0,193,10,0,1,0,0
10600,15377,3000.0000,"Československá obchodní banka, a.s.",83,Žena,1,86,92,0,1,0,0
16000,15000,10000.0000,"MONETA Money Bank, a.s.",25,Žena,0,194,95,0,1,1750,0
28002,21000,10000.0000,"UniCredit Bank Czech Republic and Slovakia, a.s.",19,Žena,0,195,93,0,1,0,0
68201,25000,10000.0000,"MONETA Money Bank, a.s.",45,Muž,0,94,84,0,1,2300,0
46352,20000,1000.0000,Air Bank a.s.,20,Žena,1,37,79,0,1,0,0
10000,20000,3000.0000,"Česká spořitelna, a.s.",19,Žena,0,193,95,0,4,50,1
79201,10000,3000.0000,"Fio banka, a.s.",27,Muž,0,185,94,0,1,1050,0
41155,30000,10000.0000,Air Bank a.s.,34,Žena,0,37,74,0,1,3900,0
36001,25000,5000.0000,"Komerční banka, a.s.",26,Muž,1,194,92,0,1,1550,0
79065,16000,10000.0000,Raiffeisenbank a.s.,44,Žena,0,185,95,0,1,1900,0
37501,17000,3000.0000,"MONETA Money Bank, a.s.",29,Žena,1,178,86,1,1,100,0
14900,12000,4000.0000,Air Bank a.s.,18,Žena,1,91,67,0,1,0,1
43141,25000,10000.0000,"Česká spořitelna, a.s.",43,Muž,1,94,94,0,1,800,1
44101,20000,10000.0000,"MONETA Money Bank, a.s.",25,Muž,1,37,86,1,1,0,0
27711,25000,10000.0000,"Česká spořitelna, a.s.",27,Žena,1,109,31,0,1,500,0
54901,17000,6000.0000,"Česká spořitelna, a.s.",25,Muž,0,46,72,1,1,1150,0
70800,16000,5000.0000,"MONETA Money Bank, a.s.",25,Žena,1,89,93,0,1,2200,0
37825,30000,10000.0000,"MONETA Money Bank, a.s.",32,Muž,1,178,14,0,1,2550,0
74727,36000,10000.0000,"Česká spořitelna, a.s.",24,Žena,1,37,58,0,1,1350,0
29301,33000,10000.0000,"Česká spořitelna, a.s.",35,Muž,1,94,91,0,1,6250,0
10000,13000,8000.0000,Raiffeisenbank a.s.,36,Muž,0,193,93,0,1,0,0
34532,40000,10000.0000,"Česká spořitelna, a.s.",33,Muž,1,83,17,0,2,4300,0
78901,30000,10000.0000,"Česká spořitelna, a.s.",28,Muž,1,85,60,0,1,2050,0
25210,8980,4000.0000,Air Bank a.s.,23,Žena,0,193,30,1,0,1200,0
29301,30000,10000.0000,"Česká spořitelna, a.s.",29,Muž,1,37,34,0,12,1150,0
70030,10000,5000.0000,Air Bank a.s.,35,Muž,1,46,89,1,1,300,0
74731,17500,10000.0000,"MONETA Money Bank, a.s.",44,Žena,1,91,27,0,1,4800,0
46334,25000,5000.0000,"Československá obchodní banka, a.s.",25,Muž,0,109,91,0,1,1200,0
27601,15000,10000.0000,"Česká spořitelna, a.s.",43,Žena,1,213,50,0,1,4950,0
70800,25000,4000.0000,"Komerční banka, a.s.",36,Muž,0,193,86,0,0,750,0
47001,37400,4000.0000,"Fio banka, a.s.",25,Muž,1,188,82,0,2,600,0
74601,14000,10000.0000,"Fio banka, a.s.",20,Muž,0,194,92,0,0,0,0
53701,45000,10000.0000,"Česká spořitelna, a.s.",33,Muž,0,185,85,1,1,1800,0
43801,20000,3000.0000,"Československá obchodní banka, a.s.",27,Muž,0,194,86,0,1,2400,0
27304,20000,10000.0000,Raiffeisenbank a.s.,21,Žena,1,109,85,0,0,250,0
27328,25000,10000.0000,"MONETA Money Bank, a.s.",48,Žena,1,89,29,0,1,900,0
56553,45000,10000.0000,"Česká spořitelna, a.s.",23,Muž,0,109,85,1,0,850,0
77200,18000,4000.0000,"Fio banka, a.s.",47,Muž,0,217,70,0,1,350,0
70030,27000,10000.0000,Air Bank a.s.,29,Muž,1,82,90,0,1,0,0
36301,20000,4000.0000,"UniCredit Bank Czech Republic and Slovakia, a.s.",26,Muž,0,193,89,0,1,1600,1
40502,20000,10000.0000,"Česká spořitelna, a.s.",20,Muž,0,109,90,1,1,0,0
27201,65000,10000.0000,"MONETA Money Bank, a.s.",30,Muž,0,193,29,1,1,2350,1
57001,15000,10000.0000,"Komerční banka, a.s.",30,Žena,1,37,20,0,0,50,1
56169,12500,3000.0000,"Česká spořitelna, a.s.",59,Muž,0,194,90,0,1,1800,0
73801,21000,10000.0000,"Československá obchodní banka, a.s.",45,Muž,0,188,91,0,1,5450,0
70030,34000,10000.0000,Raiffeisenbank a.s.,35,Muž,1,79,75,0,1,2800,0
29425,30000,10000.0000,Equa bank a.s.,26,Muž,1,37,12,1,1,1500,0
74794,50000,10000.0000,Raiffeisenbank a.s.,54,Muž,1,46,91,0,1,5700,0
10200,14500,10000.0000,"MONETA Money Bank, a.s.",22,Žena,1,89,40,1,1,500,0
54701,22000,6000.0000,"Česká spořitelna, a.s.",24,Žena,1,78,84,1,1,0,0
78365,17000,5000.0000,"Československá obchodní banka, a.s.",19,Muž,0,193,23,1,1,150,0
29429,28400,10000.0000,"Česká spořitelna, a.s.",43,Žena,0,37,46,0,1,0,1
56201,24000,10000.0000,"MONETA Money Bank, a.s.",28,Muž,1,89,90,0,1,700,0
53002,16500,3000.0000,Air Bank a.s.,28,Muž,1,94,92,0,1,950,0
67507,20000,10000.0000,"Česká spořitelna, a.s.",43,Žena,0,185,89,0,1,6350,0
51721,22000,10000.0000,"Komerční banka, a.s.",47,Žena,0,62,70,0,1,1950,0
41201,20000,6000.0000,"Česká spořitelna, a.s.",28,Muž,1,89,93,1,1,2050,0
67502,16000,9000.0000,"Československá obchodní banka, a.s.",55,Žena,0,80,82,1,1,5750,0
56901,23000,5000.0000,Air Bank a.s.,19,Žena,0,85,25,0,0,150,1
41301,10000,10000.0000,"Česká spořitelna, a.s.",21,Muž,0,78,75,1,0,0,0
33151,21000,1000.0000,"Česká spořitelna, a.s.",33,Muž,0,193,19,0,1,1900,0
75002,24000,3000.0000,"Česká spořitelna, a.s.",55,Žena,0,77,63,0,1,2300,0
15300,30000,2000.0000,"mBank S.A., organizační složka",27,Muž,1,109,92,0,1,0,0
41183,32000,10000.0000,"Komerční banka, a.s.",23,Muž,1,37,34,1,1,500,0
10000,20000,1000.0000,Air Bank a.s.,22,Muž,0,46,75,1,1,0,0
41901,16000,2000.0000,"Česká spořitelna, a.s.",23,Muž,1,37,50,1,1,1450,0
13000,20000,10000.0000,"Československá obchodní banka, a.s.",18,Žena,0,94,95,0,0,0,0
50901,17000,4000.0000,"mBank S.A., organizační složka",26,Žena,1,46,85,0,1,2050,0
43114,7000,3000.0000,Raiffeisenbank a.s.,18,Muž,1,94,8,0,1,0,0
73301,17000,6000.0000,"MONETA Money Bank, a.s.",26,Muž,1,37,89,0,1,3200,0
46334,22000,5000.0000,"Komerční banka, a.s.",27,Muž,1,37,93,0,1,1600,0
50003,10000,2000.0000,,54,Žena,1,90,82,1,1,4250,0
18000,20000,5000.0000,"Fio banka, a.s.",24,Žena,0,193,94,0,1,450,0
37001,3800,1000.0000,"Fio banka, a.s.",23,Žena,1,46,95,1,1,0,0
27735,13300,10000.0000,"Česká spořitelna, a.s.",84,Žena,0,193,36,0,0,0,0
39804,17000,10000.0000,"Česká spořitelna, a.s.",24,Žena,1,89,90,0,0,550,0
13000,18500,8000.0000,"MONETA Money Bank, a.s.",25,Žena,1,86,72,0,1,0,0
43001,21500,5000.0000,"Komerční banka, a.s.",32,Žena,0,86,47,0,0,0,1
66431,14000,1000.0000,Air Bank a.s.,23,Žena,1,46,24,0,1,0,0
73601,18000,10000.0000,Equa bank a.s.,28,Muž,1,86,58,0,2,200,0
78401,26000,10000.0000,"Československá obchodní banka, a.s.",28,Muž,0,194,42,0,1,2050,0
15200,40500,10000.0000,Air Bank a.s.,27,Žena,0,89,93,0,1,1300,0
56542,26000,5000.0000,"Česká spořitelna, a.s.",41,Muž,1,89,70,0,0,1400,0
69181,13100,10000.0000,"Česká spořitelna, a.s.",62,Žena,0,80,67,0,1,450,0
70030,18000,10000.0000,"Česká spořitelna, a.s.",22,Žena,1,109,50,0,1,100,0
10300,30000,8000.0000,"Československá obchodní banka, a.s.",32,Muž,0,86,65,0,1,0,0
37005,19000,10000.0000,Raiffeisenbank a.s.,31,Žena,1,178,59,0,1,3950,0
67175,25000,10000.0000,"Česká spořitelna, a.s.",36,Muž,1,37,17,1,1,2300,0
33901,20000,1000.0000,"Československá obchodní banka, a.s.",24,Muž,1,188,64,0,1,1000,0
38202,40000,10000.0000,"Komerční banka, a.s.",45,Muž,1,194,91,0,1,2500,0
58301,25000,10000.0000,"MONETA Money Bank, a.s.",50,Žena,0,77,43,0,1,2100,0
41701,14931,10000.0000,"Česká spořitelna, a.s.",73,Muž,1,37,70,0,1,2000,1
78701,25000,10000.0000,"Fio banka, a.s.",28,Muž,1,95,92,1,1,400,0
38901,20000,10000.0000,"Česká spořitelna, a.s.",31,Žena,1,89,75,0,1,950,0
74101,18000,5000.0000,"Česká spořitelna, a.s.",30,Žena,1,85,23,0,1,2000,0
61400,21000,5000.0000,Air Bank a.s.,24,Žena,1,176,95,0,1,800,0
27711,21000,3000.0000,"Československá obchodní banka, a.s.",28,Muž,1,46,94,0,0,300,0
78901,17000,10000.0000,"UniCredit Bank Czech Republic and Slovakia, a.s.",20,Žena,1,62,79,0,1,250,0
10600,20000,5000.0000,"Komerční banka, a.s.",20,Muž,1,37,16,0,0,0,0
36236,15000,2000.0000,"Československá obchodní banka, a.s.",19,Muž,1,185,77,0,0,50,0
61400,13000,8000.0000,"Fio banka, a.s.",21,Muž,1,89,37,1,2,0,0
73601,22000,2000.0000,"Československá obchodní banka, a.s.",23,Muž,1,193,42,0,1,950,0
73531,16500,10000.0000,Air Bank a.s.,21,Žena,1,91,25,1,0,0,0
26741,26000,8000.0000,Raiffeisenbank a.s.,37,Muž,1,5,10,0,1,1100,0
27343,18000,1000.0000,"Fio banka, a.s.",24,Muž,0,193,90,0,0,200,0
74301,18500,8000.0000,Air Bank a.s.,21,Žena,0,89,16,1,1,150,0
73601,50000,10000.0000,"Československá obchodní banka, a.s.",29,Muž,1,80,77,1,0,1400,0
46401,20000,6000.0000,"MONETA Money Bank, a.s.",21,Muž,1,46,67,1,1,850,0
73541,10000,3000.0000,"Československá obchodní banka, a.s.",32,Žena,1,89,19,0,1,450,0
73514,20000,2000.0000,Air Bank a.s.,29,Muž,0,91,93,0,0,0,0
73401,22000,10000.0000,"Československá obchodní banka, a.s.",24,Muž,1,37,91,0,0,150,0
40001,6500,3000.0000,Raiffeisenbank a.s.,18,Žena,1,178,72,0,1,0,0
73701,19000,3000.0000,"MONETA Money Bank, a.s.",39,Žena,1,109,20,0,1,3050,0
26901,10500,10000.0000,"MONETA Money Bank, a.s.",67,Žena,0,94,59,0,1,1050,0
73997,24000,5000.0000,Equa bank a.s.,24,Muž,1,85,86,1,1,1300,0
36221,32000,10000.0000,Air Bank a.s.,33,Muž,1,109,50,0,1,2800,0
68732,18000,10000.0000,"Česká spořitelna, a.s.",26,Muž,0,88,20,0,1,1350,0
60200,25000,10000.0000,Air Bank a.s.,28,Muž,1,193,15,1,1,1500,0
27051,22000,10000.0000,"Česká spořitelna, a.s.",26,Muž,0,94,16,1,2,1500,0
77900,15000,10000.0000,"Česká spořitelna, a.s.",23,Žena,1,217,95,0,0,600,0
29441,20000,10000.0000,Equa bank a.s.,41,Žena,0,86,86,0,1,150,0
40746,20000,8000.0000,"Komerční banka, a.s.",48,Žena,0,109,19,0,1,2900,0
25756,18000,2000.0000,"Česká spořitelna, a.s.",27,Muž,1,37,20,1,0,1000,0
28601,24000,10000.0000,"MONETA Money Bank, a.s.",30,Muž,0,37,67,0,1,2400,0
10000,20000,10000.0000,"Československá obchodní banka, a.s.",38,Muž,1,89,80,0,1,0,0
