,CODE_ZIP,AMT_NET_INCOME,AMT_REQUESTED_TICKET,TEXT_BANK,NUM_AGE,TEXT_GENDER,NFLAG_MOBILEDEVICE,CODE_IP_1,NUM_LEVEN_EMAIL,NFLAG_EMAIL_NUMERAL,CNT_REJECTED,NUM_DAYS_CREDIT_HISTORY,TARGET,AGE_RANGE,SCORE,GENDER
4115,68703,13500,5000.0,Anonymous Bank,40,Žena,1,178,82,0,1,2100,0,30 - 42,-538.1463879999999,1
4116,15000,30000,15000.0,"Komerční banka, a.s.",28,Muž,1,37,24,0,1,1500,0,18 - 29,3911.121412,0
4117,33027,20000,9000.0,Air Bank a.s.,21,Žena,1,109,54,1,2,0,1,18 - 29,3382.925036,1
4118,68401,6000,2000.0,"Česká spořitelna, a.s.",19,Žena,1,178,24,1,1,0,0,18 - 29,751.947036,1
4119,40001,40000,7000.0,Raiffeisenbank a.s.,23,Muž,1,37,80,1,1,800,1,18 - 29,1710.2466359999999,0
4120,14300,29000,15000.0,"Československá obchodní banka, a.s.",49,Muž,1,79,60,0,1,3200,0,43 - 55,1954.193366,0
4121,33101,17000,5000.0,Air Bank a.s.,25,Muž,1,185,17,0,0,1550,0,18 - 29,95.02076200000033,0
4122,41108,34000,10000.0,"MONETA Money Bank, a.s.",25,Muž,1,91,92,0,1,500,0,18 - 29,3183.0644120000006,0
4123,25229,48000,10000.0,Air Bank a.s.,34,Muž,1,90,29,0,1,1150,0,30 - 42,2434.7759620000006,0
4124,74601,10000,3000.0,"Česká spořitelna, a.s.",24,Žena,1,79,85,0,1,400,0,18 - 29,667.2077120000001,1
4125,35002,25000,15000.0,"UniCredit Bank Czech Republic and Slovakia, a.s.",32,Žena,0,89,93,0,1,3800,0,30 - 42,1263.2006000000001,1
4126,43401,23000,6000.0,Air Bank a.s.,18,Žena,1,213,73,0,1,0,1,18 - 29,2255.2549120000003,1
4127,25088,43900,10000.0,"Česká spořitelna, a.s.",43,Muž,0,212,14,0,0,4050,0,43 - 55,-903.7385959999997,0
4128,26751,15000,6000.0,"UniCredit Bank Czech Republic and Slovakia, a.s.",18,Žena,1,37,55,1,1,0,1,18 - 29,2255.363036,1
4129,43111,20000,3000.0,"Česká spořitelna, a.s.",23,Muž,1,93,94,0,1,800,0,18 - 29,206.72251200000017,0
4130,68352,30000,5000.0,"Komerční banka, a.s.",40,Žena,0,89,59,0,1,2350,0,30 - 42,-826.0805499999999,1
4131,10400,18000,9000.0,Air Bank a.s.,22,Žena,1,37,80,0,0,1200,0,18 - 29,2001.3613120000002,1
4132,37825,9000,4000.0,"Československá obchodní banka, a.s.",18,Muž,1,178,47,1,1,0,0,18 - 29,1503.6550360000003,0
4133,66501,30000,8000.0,"Česká spořitelna, a.s.",27,Muž,0,86,87,1,1,1050,0,18 - 29,1798.166474,0
4134,37001,45000,2000.0,"Česká spořitelna, a.s.",23,Muž,1,82,85,1,1,250,0,18 - 29,464.14378600000003,0
4135,77900,27000,15000.0,"Československá obchodní banka, a.s.",54,Muž,1,46,89,0,1,0,1,43 - 55,5638.074966,0
4136,79336,17000,10000.0,"Československá obchodní banka, a.s.",21,Žena,1,78,25,0,1,550,0,18 - 29,3125.5037620000003,1
4137,46822,30000,15000.0,"Československá obchodní banka, a.s.",26,Muž,0,178,67,0,1,1600,0,18 - 29,3795.8692,0
4138,37001,22000,5000.0,"UniCredit Bank Czech Republic and Slovakia, a.s.",34,Žena,1,78,89,0,1,2750,0,30 - 42,-1286.434838,1
4139,76001,40000,2000.0,"Česká spořitelna, a.s.",35,Muž,0,178,65,0,0,1900,0,30 - 42,-1435.5967,0
4140,75644,60000,4000.0,Equa bank a.s.,28,Muž,0,37,89,0,1,1550,0,18 - 29,-280.9641499999998,0
4141,43401,25000,5000.0,Equa bank a.s.,24,Muž,1,37,75,1,1,1200,0,18 - 29,498.0534360000004,0
4142,27601,23000,5000.0,"MONETA Money Bank, a.s.",20,Žena,1,78,89,0,1,100,0,18 - 29,1764.2796120000003,1
4143,33013,25000,10000.0,"MONETA Money Bank, a.s.",29,Muž,0,212,55,1,1,2400,0,30 - 42,995.7369240000003,0
4144,46601,30000,15000.0,Air Bank a.s.,37,Muž,0,86,91,0,1,2400,0,30 - 42,2874.8988000000004,0
4145,54101,16191,15000.0,"MONETA Money Bank, a.s.",65,Muž,0,194,88,0,1,6350,0,56 - 68,-1672.1740359999994,0
4146,76341,26000,15000.0,"Komerční banka, a.s.",38,Žena,1,37,25,0,0,6400,0,30 - 42,-1729.8222880000003,1
