,NUM_AGE,TEXT_BANK,TARGET,COUNT
609,38,"MONETA Money Bank, a.s.",1,0
610,38,Raiffeisenbank a.s.,0,6
611,38,Raiffeisenbank a.s.,1,0
612,38,"UniCredit Bank Czech Republic and Slovakia, a.s.",0,1
613,38,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,0
614,38,Air Bank a.s.,0,8
615,38,Air Bank a.s.,1,0
616,38,"Fio banka, a.s.",0,4
617,38,"Fio banka, a.s.",1,0
618,38,"mBank S.A., organizační složka",0,4
619,38,"mBank S.A., organizační složka",1,0
620,38,Anonymous Bank,0,1
621,38,Anonymous Bank,1,0
630,39,"Česká spořitelna, a.s.",0,15
631,39,"Česká spořitelna, a.s.",1,2
632,39,"Komerční banka, a.s.",0,9
633,39,"Komerční banka, a.s.",1,0
634,39,"Československá obchodní banka, a.s.",0,10
635,39,"Československá obchodní banka, a.s.",1,0
636,39,Equa bank a.s.,0,6
637,39,Equa bank a.s.,1,0
638,39,"MONETA Money Bank, a.s.",0,14
639,39,"MONETA Money Bank, a.s.",1,0
640,39,Raiffeisenbank a.s.,0,2
641,39,Raiffeisenbank a.s.,1,1
642,39,"UniCredit Bank Czech Republic and Slovakia, a.s.",0,4
643,39,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,0
644,39,Air Bank a.s.,0,6
645,39,Air Bank a.s.,1,1
646,39,"Fio banka, a.s.",0,1
647,39,"Fio banka, a.s.",1,0
648,39,"mBank S.A., organizační složka",0,2
649,39,"mBank S.A., organizační složka",1,0
650,39,Anonymous Bank,0,1
651,39,Anonymous Bank,1,0
656,39,Banka CREDITAS a.s.,0,1
657,39,Banka CREDITAS a.s.,1,0
660,40,"Česká spořitelna, a.s.",0,16
661,40,"Česká spořitelna, a.s.",1,1
662,40,"Komerční banka, a.s.",0,11
663,40,"Komerční banka, a.s.",1,0
664,40,"Československá obchodní banka, a.s.",0,2
665,40,"Československá obchodní banka, a.s.",1,2
666,40,Equa bank a.s.,0,1
667,40,Equa bank a.s.,1,1
668,40,"MONETA Money Bank, a.s.",0,15
669,40,"MONETA Money Bank, a.s.",1,0
670,40,Raiffeisenbank a.s.,0,4
671,40,Raiffeisenbank a.s.,1,1
672,40,"UniCredit Bank Czech Republic and Slovakia, a.s.",0,6
673,40,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,0
674,40,Air Bank a.s.,0,12
675,40,Air Bank a.s.,1,1
676,40,"Fio banka, a.s.",0,4
677,40,"Fio banka, a.s.",1,1
678,40,"mBank S.A., organizační složka",0,2
679,40,"mBank S.A., organizační složka",1,1
680,40,Anonymous Bank,0,1
681,40,Anonymous Bank,1,0
682,40,"Sberbank CZ, a.s.",0,1
683,40,"Sberbank CZ, a.s.",1,0
686,40,Banka CREDITAS a.s.,0,1
687,40,Banka CREDITAS a.s.,1,0
690,41,"Česká spořitelna, a.s.",0,19
691,41,"Česká spořitelna, a.s.",1,4
692,41,"Komerční banka, a.s.",0,3
693,41,"Komerční banka, a.s.",1,0
694,41,"Československá obchodní banka, a.s.",0,9
695,41,"Československá obchodní banka, a.s.",1,1
696,41,Equa bank a.s.,0,2
697,41,Equa bank a.s.,1,0
698,41,"MONETA Money Bank, a.s.",0,6
699,41,"MONETA Money Bank, a.s.",1,0
700,41,Raiffeisenbank a.s.,0,6
701,41,Raiffeisenbank a.s.,1,0
702,41,"UniCredit Bank Czech Republic and Slovakia, a.s.",0,1
703,41,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,0
704,41,Air Bank a.s.,0,5
705,41,Air Bank a.s.,1,0
706,41,"Fio banka, a.s.",0,3
707,41,"Fio banka, a.s.",1,0
708,41,"mBank S.A., organizační složka",0,3
709,41,"mBank S.A., organizační složka",1,0
712,41,"Sberbank CZ, a.s.",0,2
713,41,"Sberbank CZ, a.s.",1,0
720,42,"Česká spořitelna, a.s.",0,16
721,42,"Česká spořitelna, a.s.",1,3
722,42,"Komerční banka, a.s.",0,4
723,42,"Komerční banka, a.s.",1,1
724,42,"Československá obchodní banka, a.s.",0,13
725,42,"Československá obchodní banka, a.s.",1,0
726,42,Equa bank a.s.,0,4
727,42,Equa bank a.s.,1,0
728,42,"MONETA Money Bank, a.s.",0,6
729,42,"MONETA Money Bank, a.s.",1,2
730,42,Raiffeisenbank a.s.,0,10
731,42,Raiffeisenbank a.s.,1,1
732,42,"UniCredit Bank Czech Republic and Slovakia, a.s.",0,1
733,42,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,0
734,42,Air Bank a.s.,0,2
735,42,Air Bank a.s.,1,0
736,42,"Fio banka, a.s.",0,2
737,42,"Fio banka, a.s.",1,0
740,42,Anonymous Bank,0,1
741,42,Anonymous Bank,1,0
748,42,"BNP Paribas Personal Finance SA, odštěpný závod",0,1
749,42,"BNP Paribas Personal Finance SA, odštěpný závod",1,0
750,43,"Česká spořitelna, a.s.",0,14
751,43,"Česká spořitelna, a.s.",1,3
752,43,"Komerční banka, a.s.",0,6
753,43,"Komerční banka, a.s.",1,0
754,43,"Československá obchodní banka, a.s.",0,7
755,43,"Československá obchodní banka, a.s.",1,0
756,43,Equa bank a.s.,0,3
757,43,Equa bank a.s.,1,0
758,43,"MONETA Money Bank, a.s.",0,18
759,43,"MONETA Money Bank, a.s.",1,0
760,43,Raiffeisenbank a.s.,0,5
761,43,Raiffeisenbank a.s.,1,1
762,43,"UniCredit Bank Czech Republic and Slovakia, a.s.",0,2
763,43,"UniCredit Bank Czech Republic and Slovakia, a.s.",1,0
764,43,Air Bank a.s.,0,8
765,43,Air Bank a.s.,1,0
766,43,"Fio banka, a.s.",0,2
767,43,"Fio banka, a.s.",1,0
768,43,"mBank S.A., organizační složka",0,1
769,43,"mBank S.A., organizační složka",1,1
770,43,Anonymous Bank,0,0
771,43,Anonymous Bank,1,1
780,44,"Česká spořitelna, a.s.",0,8
781,44,"Česká spořitelna, a.s.",1,1
782,44,"Komerční banka, a.s.",0,7
783,44,"Komerční banka, a.s.",1,0
784,44,"Československá obchodní banka, a.s.",0,8
785,44,"Československá obchodní banka, a.s.",1,0
786,44,Equa bank a.s.,0,6
